KOD;NAZEV;OBEC_KOD;MOP_KOD;SPRAVOBV_KOD;PORADI;PLATI_OD;PLATI_DO;DATUM_VZNIKU
551082;Brno-Bohunice;582786;;;1;20.03.2025 00:00:00;;24.11.1990 00:00:00
551325;Brno-Bosonohy;582786;;;2;03.04.2025 00:00:00;;24.11.1990 00:00:00
551198;Brno-Bystrc;582786;;;3;03.04.2025 00:00:00;;24.11.1990 00:00:00
551317;Brno-Chrlice;582786;;;5;03.04.2025 00:00:00;;24.11.1990 00:00:00
551376;Brno-Ivanovice;582786;;;6;03.04.2025 00:00:00;;24.11.1990 00:00:00
551406;Brno-Jehnice;582786;;;7;03.04.2025 00:00:00;;24.11.1990 00:00:00
551171;Brno-Jundrov;582786;;;9;03.04.2025 00:00:00;;24.11.1990 00:00:00
551210;Brno-KnÌniËky;582786;;;10;03.04.2025 00:00:00;;24.11.1990 00:00:00
551147;Brno-Kohoutovice;582786;;;11;03.04.2025 00:00:00;;24.11.1990 00:00:00
551228;Brno-KomÌn;582786;;;12;03.04.2025 00:00:00;;24.11.1990 00:00:00
551007;Brno-Kr·lovo Pole;582786;;;13;20.03.2025 00:00:00;;24.11.1990 00:00:00
551287;Brno-LÌöeÚ;582786;;;14;03.04.2025 00:00:00;;24.11.1990 00:00:00
551252;Brno-MalomÏ¯ice a Ob¯any;582786;;;15;03.04.2025 00:00:00;;24.11.1990 00:00:00
551236;Brno-Medl·nky;582786;;;16;03.04.2025 00:00:00;;24.11.1990 00:00:00
551112;Brno-Nov˝ LÌskovec;582786;;;17;20.03.2025 00:00:00;;24.11.1990 00:00:00
551422;Brno-O¯eöÌn;582786;;;18;03.04.2025 00:00:00;;24.11.1990 00:00:00
551295;Brno-Slatina;582786;;;21;03.04.2025 00:00:00;;24.11.1990 00:00:00
551091;Brno-Star˝ LÌskovec;582786;;;22;03.04.2025 00:00:00;;24.11.1990 00:00:00
551309;Brno-Tu¯any;582786;;;24;03.04.2025 00:00:00;;24.11.1990 00:00:00
551279;Brno-Vinohrady;582786;;;26;03.04.2025 00:00:00;;24.11.1990 00:00:00
551074;Brno-jih;582786;;;8;03.04.2025 00:00:00;;24.11.1990 00:00:00
551031;Brno-sever;582786;;;20;20.03.2025 00:00:00;;24.11.1990 00:00:00
550973;Brno-st¯ed;582786;;;23;20.03.2025 00:00:00;;24.11.1990 00:00:00
551431;Brno-⁄tÏchov;582786;;;25;03.04.2025 00:00:00;;24.11.1990 00:00:00
551066;Brno-»ernovice;582786;;;4;03.04.2025 00:00:00;;24.11.1990 00:00:00
551244;Brno-ÿeËkovice a Mokr· Hora;582786;;;19;03.04.2025 00:00:00;;24.11.1990 00:00:00
550990;Brno-éabov¯esky;582786;;;27;03.04.2025 00:00:00;;24.11.1990 00:00:00
551368;Brno-éebÏtÌn;582786;;;28;20.03.2025 00:00:00;;24.11.1990 00:00:00
551058;Brno-éidenice;582786;;;29;03.04.2025 00:00:00;;24.11.1990 00:00:00
554332;Hoöù·lkovice;554821;;;1;10.09.2020 00:00:00;;24.11.1990 00:00:00
554669;Hrabov·;554821;;;2;25.04.2024 00:00:00;;24.11.1990 00:00:00
555355;Kom·rov;505927;;;1;25.04.2024 00:00:00;;01.04.1996 00:00:00
554561;Kr·snÈ Pole;554821;;;3;23.07.2024 00:00:00;;24.11.1990 00:00:00
554324;Lhotka;554821;;;4;19.02.2025 00:00:00;;24.11.1990 00:00:00
