KOD;NAZEV;OBEC_KOD;PLATI_OD;PLATI_DO;DATUM_VZNIKU
19;Praha 1;554782;05.06.2015 00:00:00;;11.04.1960 00:00:00
27;Praha 2;554782;05.06.2015 00:00:00;;11.04.1960 00:00:00
35;Praha 3;554782;05.06.2015 00:00:00;;11.04.1960 00:00:00
43;Praha 4;554782;04.06.2025 00:00:00;;11.04.1960 00:00:00
51;Praha 5;554782;07.05.2025 00:00:00;;11.04.1960 00:00:00
60;Praha 6;554782;20.06.2025 00:00:00;;11.04.1960 00:00:00
78;Praha 7;554782;05.06.2015 00:00:00;;11.04.1960 00:00:00
86;Praha 8;554782;18.02.2025 00:00:00;;11.04.1960 00:00:00
94;Praha 9;554782;28.01.2025 00:00:00;;11.04.1960 00:00:00
108;Praha 10;554782;26.11.2024 00:00:00;;11.04.1960 00:00:00
