KOD;NAZEV;OBEC_KOD;SPRAVNI_MOMC_KOD;PLATI_OD;PLATI_DO;DATUM_VZNIKU
19;Praha 1;554782;500054;13.11.2013 00:00:00;;
27;Praha 2;554782;500089;13.11.2013 00:00:00;;
35;Praha 3;554782;500097;13.11.2013 00:00:00;;
43;Praha 4;554782;500119;18.04.2024 00:00:00;;
51;Praha 5;554782;500143;20.05.2021 00:00:00;;
60;Praha 6;554782;500178;20.06.2025 00:00:00;;
78;Praha 7;554782;500186;13.11.2013 00:00:00;;
86;Praha 8;554782;500208;18.02.2025 00:00:00;;
94;Praha 9;554782;500216;12.02.2014 00:00:00;;
108;Praha 10;554782;500224;13.11.2013 00:00:00;;
116;Praha 11;554782;547034;10.09.2024 00:00:00;;
124;Praha 12;554782;547107;04.06.2025 00:00:00;;
132;Praha 13;554782;539694;16.01.2025 00:00:00;;
141;Praha 14;554782;547361;13.11.2013 00:00:00;;
159;Praha 15;554782;547387;13.11.2013 00:00:00;;
167;Praha 19;554782;547344;16.01.2025 00:00:00;;
175;Praha 20;554782;538213;28.01.2025 00:00:00;;
183;Praha 21;554782;538949;24.01.2025 00:00:00;;
191;Praha 22;554782;538931;26.11.2024 00:00:00;;
205;Praha 16;554782;539601;07.05.2025 00:00:00;;
213;Praha 17;554782;547174;16.01.2025 00:00:00;;
221;Praha 18;554782;547417;04.11.2021 00:00:00;;
