KOD;NAZEV;OBEC_KOD;PLATI_OD;PLATI_DO
19;Alöova;529303;08.11.2013 00:00:00;
27;Antuökova;529303;08.11.2013 00:00:00;
35;BezruËova;529303;19.03.2025 00:00:00;
43;Boûeny NÏmcovÈ;529303;13.08.2020 00:00:00;
51;»apkova;529303;06.03.2024 00:00:00;
60;»echova;529303;03.09.2024 00:00:00;
78;»edÌkova;529303;01.07.2011 00:00:00;
86;»ernolesk·;529303;14.09.2020 00:00:00;
94;»ervenÈ Vröky;529303;03.09.2024 00:00:00;
108;Dukelsk·;529303;19.03.2025 00:00:00;
116;Dvo¯·kova;529303;01.07.2011 00:00:00;
124;Erbenova;529303;03.09.2024 00:00:00;
132;Fibichova;529303;01.07.2011 00:00:00;
141;H·lkova;529303;08.11.2013 00:00:00;
159;HodÏjovskÈho;529303;09.03.2023 00:00:00;
167;Hr·skÈho;529303;19.03.2025 00:00:00;
175;HrubÌnova;529303;01.07.2011 00:00:00;
183;Husova;529303;19.03.2025 00:00:00;
191;Husovo n·mÏstÌ;529303;07.10.2019 00:00:00;
205;J. F. ChalupeckÈho;529303;13.08.2020 00:00:00;
213;Jana Nohy;529303;06.03.2024 00:00:00;
221;Jana ävermy;529303;09.03.2023 00:00:00;
230;JanskÈho;529303;01.07.2011 00:00:00;
248;Jir·skova;529303;09.03.2023 00:00:00;
256;Ji¯Ìho Franka;529303;19.03.2025 00:00:00;
264;Ji¯Ìho Hor·ka;529303;19.03.2025 00:00:00;
272;K Nemocnici;529303;19.03.2025 00:00:00;
281;K PazdernÏ;529303;13.08.2020 00:00:00;
299;K P¯eloûce;529303;04.06.2020 00:00:00;
302;K Tuûince;529303;27.06.2023 00:00:00;
311;K. H. BorovskÈho;529303;01.07.2011 00:00:00;
329;KarolÌny SvÏtlÈ;529303;01.07.2011 00:00:00;
337;Ke Stadionu;529303;24.10.2024 00:00:00;
345;Ke Stud·nce;529303;14.09.2020 00:00:00;
353;Konopiöùsk·;529303;24.10.2024 00:00:00;
361;U Koupadel;529303;09.03.2023 00:00:00;
370;Kpt. N·lepky;529303;19.03.2025 00:00:00;
388;K¯iûÌkova;529303;24.10.2024 00:00:00;
396;Ladova;529303;13.08.2020 00:00:00;
400;Lomen·;529303;09.03.2023 00:00:00;
418;Longenova;529303;19.03.2025 00:00:00;
426;M. Kude¯ÌkovÈ;529303;09.03.2023 00:00:00;
434;MalÈ n·mÏstÌ;529303;09.03.2023 00:00:00;
442;Masarykovo n·mÏstÌ;529303;03.09.2024 00:00:00;
451;Matiegkova;529303;01.07.2011 00:00:00;
469;M·chova;529303;13.08.2020 00:00:00;
477;Mendelova;529303;09.03.2023 00:00:00;
485;Na BezdÏkovÏ;529303;12.06.2025 00:00:00;
493;Na Chmelnici;529303;06.03.2024 00:00:00;
507;Na KarlovÏ;529303;03.09.2024 00:00:00;
515;Na M˝tÏ;529303;01.07.2011 00:00:00;
523;Na Spo¯ilovÏ;529303;01.07.2011 00:00:00;
531;Na SvÈpomoci;529303;01.07.2011 00:00:00;
540;Na Trûiöti;529303;19.03.2025 00:00:00;
558;N·draûnÌ;529303;09.03.2023 00:00:00;
566;Nerudova;529303;08.11.2013 00:00:00;
574;Neumannova;529303;18.11.2013 00:00:00;
582;Nezvalova;529303;18.11.2013 00:00:00;
591;Nov· Praûsk·;529303;09.03.2023 00:00:00;
604;PavlÌkova;529303;01.07.2011 00:00:00;
612;Pil·tka;529303;14.03.2025 00:00:00;
621;Pod Kl·öterkou;529303;01.07.2011 00:00:00;
639;Pod Lihovarem;529303;01.07.2011 00:00:00;
647;PoötovnÌ;529303;14.09.2020 00:00:00;
655;Praûsk·;529303;09.03.2023 00:00:00;
663;PraûskÈho povst·nÌ;529303;19.03.2025 00:00:00;
671;PurkyÚova;529303;13.08.2020 00:00:00;
680;Rubeöova;529303;01.07.2011 00:00:00;
698;ÿeznick·;529303;09.03.2023 00:00:00;
701;Smetanova;529303;13.08.2020 00:00:00;
710;Sokola T˘my;529303;01.07.2011 00:00:00;
728;Spartaki·dnÌ;529303;08.11.2013 00:00:00;
736;Sukova;529303;13.08.2020 00:00:00;
744;äÌmova;529303;01.07.2011 00:00:00;
752;äkolnÌ;529303;13.08.2020 00:00:00;
761;T·borsk·;529303;13.08.2020 00:00:00;
779;Tylova;529303;01.07.2011 00:00:00;
787;Tyröova;529303;09.03.2023 00:00:00;
795;U Elektr·rny;529303;19.03.2025 00:00:00;
809;U Ml˝na;529303;06.03.2024 00:00:00;
